City,Count of city
"Portland, ME",875
"Portland, OR",5255
"Portsmouth, NH",19
"Providence, RI",1662
"Provo, UT",43
"Pueblo, CO",81
"Punta Gorda, FL",401
"Quincy, IL",81
"Raleigh/Durham, NC",5368
"Rapid City, SD",394
"Redding, CA",92
"Reno, NV",1524
"Rhinelander, WI",61
"Richmond, VA",1963
"Roanoke, VA",206
"Rochester, MN",281
"Rochester, NY",1199
"Rock Springs, WY",55
"Rockford, IL",49
"Roswell, NM",118
"Sacramento, CA",4069
"Saginaw/Bay City/Midland, MI",258
"Salina, KS",80
"Salt Lake City, UT",9330
"San Angelo, TX",123
"San Antonio, TX",3266
"San Diego, CA",7702
"San Francisco, CA",14934
"San Jose, CA",4731
"San Juan, PR",2136
"San Luis Obispo, CA",411
"Sanford, FL",795
"Santa Ana, CA",3565
"Santa Barbara, CA",614
"Santa Fe, NM",123
"Santa Maria, CA",13
"Santa Rosa, CA",136
"Sarasota/Bradenton, FL",545
"Sault Ste. Marie, MI",57
"Savannah, GA",1394
"Scottsbluff, NE",54
"Scranton/Wilkes-Barre, PA",318
"Seattle, WA",12050
"Shreveport, LA",554
"Sioux City, IA",89
"Sioux Falls, SD",465
"Sitka, AK",106
"South Bend, IN",521
"Spokane, WA",1066
"Springfield, IL",157
"Springfield, MO",750
"St. Cloud, MN",7
"St. George, UT",273
"St. Louis, MO",5719
"St. Petersburg, FL",622
"State College, PA",88
"Staunton, VA",83
"Stillwater, OK",62
"Stockton, CA",67
"Sun Valley/Hailey/Ketchum, ID",62
"Syracuse, NY",1174
"Tallahassee, FL",535
"Tampa, FL",6254
"Texarkana, AR",117
"Toledo, OH",176
"Traverse City, MI",246
"Trenton, NJ",243
"Tucson, AZ",1606
"Tulsa, OK",1445
"Twin Falls, ID",113
"Tyler, TX",120
"Valdosta, GA",88
"Valparaiso, FL",720
"Waco, TX",146
"Washington, DC",16905
"Waterloo, IA",58
"West Palm Beach/Palm Beach, FL",2098
"West Yellowstone, MT",14
"White Plains, NY",848
"Wichita Falls, TX",91
"Wichita, KS",865
"Williston, ND",124
"Wilmington, NC",624
"Worcester, MA",90
"Wrangell, AK",62
"Yakutat, AK",62
"Yuma, AZ",120
